DATE,INTGSTZAM193N
1957-01-01,3.25
1957-02-01,3.25
1957-03-01,3.25
1957-04-01,3.25
1957-05-01,3.25
1957-06-01,3.25
1957-07-01,3.25
1957-08-01,3.25
1957-09-01,3.25
1957-10-01,3.25
1957-11-01,3.25
1957-12-01,3.25
1958-01-01,3.25
1958-02-01,3.5
1958-03-01,3.5
1958-04-01,3.5
1958-05-01,3.5
1958-06-01,3.699999999
1958-07-01,3.709999999
1958-08-01,3.739999999
1958-09-01,3.729999999
1958-10-01,3.699999999
1958-11-01,3.69
1958-12-01,3.679999999
1959-01-01,3.58
1959-02-01,3.52
1959-03-01,3.529999999
1959-04-01,3.55
1959-05-01,3.52
1959-06-01,3.489999999
1959-07-01,3.459999999
1959-08-01,3.459999999
1959-09-01,3.44
1959-10-01,3.349999999
1959-11-01,3.279999999
1959-12-01,3.279999999
1960-01-01,3.369999999
1960-02-01,3.479999999
1960-03-01,3.459999999
1960-04-01,3.5
1960-05-01,3.529999999
1960-06-01,3.569999999
1960-07-01,3.69
1960-08-01,3.779999999
1960-09-01,3.66
1960-10-01,3.559999999
1960-11-01,3.729999999
1960-12-01,3.839999999
1961-01-01,3.989999999
1961-02-01,4.119999999
1961-03-01,4.08
1961-04-01,4.11
1961-05-01,4.619999999
1961-06-01,4.699999999
1961-07-01,4.619999999
1961-08-01,4.3
1961-09-01,4.239999999
1961-10-01,4.089999999
1961-11-01,4.069999999
1961-12-01,4.05
1962-01-01,3.929999999
1962-02-01,3.779999999
1962-03-01,3.66
1962-04-01,3.309999999
1962-05-01,2.849999999
1962-06-01,2.77
1962-07-01,2.55
1962-08-01,2.319999999
1962-09-01,2.209999999
1962-10-01,2.16
1962-11-01,1.959999999
1962-12-01,1.819999999
1963-01-01,1.899999999
1963-02-01,1.99
1963-03-01,1.99
1963-04-01,2.029999999
1963-05-01,2.08
1963-06-01,2.16
1963-07-01,2.209999999
1963-08-01,2.149999999
1963-09-01,1.94
1963-10-01,1.77
1963-11-01,1.72
1963-12-01,1.919999999
1964-01-01,2.139999999
1964-02-01,2.449999999
1964-03-01,2.599999999
1964-04-01,2.61
1964-05-01,2.61
1964-06-01,2.759999999
1964-07-01,3.099999999
1964-08-01,3.16
