DATE,LFWA64TTZAQ647S
2000-07-01,27008000
2000-10-01,.
2001-01-01,27264000
2001-04-01,.
2001-07-01,27528000
2001-10-01,.
2002-01-01,27797000
2002-04-01,.
2002-07-01,28068000
2002-10-01,.
2003-01-01,28326000
2003-04-01,.
2003-07-01,28585000
2003-10-01,.
2004-01-01,28834000
2004-04-01,.
2004-07-01,29081000
2004-10-01,.
2005-01-01,29320000
2005-04-01,.
2005-07-01,29557000
2005-10-01,.
2006-01-01,29779000
2006-04-01,.
2006-07-01,29998000
2006-10-01,.
2007-01-01,30208000
2007-04-01,.
2007-07-01,30414000
2007-10-01,.
2008-01-01,31443876.6561763
2008-04-01,31671103.838552002
2008-07-01,31859085.542268198
2008-10-01,32085406.407489203
2009-01-01,32067739.960235998
2009-04-01,32265089.6053705
2009-07-01,32426620.4947078
2009-10-01,32679475.7184193
2010-01-01,32668273.707031902
2010-04-01,32848206.799208798
2010-07-01,33021948.941545904
2010-10-01,33293050.4785975
2011-01-01,33288608.4816117
2011-04-01,33444230.819741003
2011-07-01,33621902.9546426
2011-10-01,33898716.0764571
2012-01-01,33902826.936788395
2012-04-01,34079858.2434835
2012-07-01,34222033.2100953
2012-10-01,34495906.6939715
2013-01-01,34506570.8923666
2013-04-01,34688951.990628704
2013-07-01,34843720.5620111
2013-10-01,35120623.428088196
2014-01-01,35111249.349842004
2014-04-01,35314764.5127789
2014-07-01,35468211.224253
2014-10-01,35746313.883823
2015-01-01,35714334.643462405
2015-04-01,35957764.0018229
2015-07-01,36095679.1159027
2015-10-01,36371262.689720996
2016-01-01,36353206.9950398
2016-04-01,36614084.2871933
2016-07-01,36717592.3170019
2016-10-01,36991088.9129038
2017-01-01,36982480.7660524
2017-04-01,37263144.7634489
2017-07-01,37326140.0665283
2017-10-01,37605000.5042643
2018-01-01,37621845.5537906
2018-04-01,37905643.98394541
2018-07-01,37915287.4440399
2018-10-01,38185787.609957606
2019-01-01,38248348.856184
2019-04-01,38606496.266472995
2019-07-01,38531166.583377406
2019-10-01,38639550.2704388
2020-01-01,38747436.390233696
2020-04-01,39274659.7720124
2020-07-01,39161822.730488695
2020-10-01,39189344.1568271
2021-01-01,39324283.5375508
2021-04-01,39782117.4737658
2021-07-01,39698747.5645304
2021-10-01,39882676.3199392
2022-01-01,39927456.9602761
2022-04-01,40332688.2825795
2022-07-01,40285070.532732494
2022-10-01,40448643.8245197
2023-01-01,40485237.0716925
