Interest (per annum),Date
11.25%,2023-03-31
10.75%,2023-01-27
10.50%,2022-11-25
9.75%,2022-09-23
9.00%,2022-07-22
8.25%,2022-05-20
7.75%,2022-03-25
7.50%,2022-01-28
7.25%,2021-11-19
7.00%,2020-07-24
7.25%,2020-05-22
7.75%,2020-04-15
8.75%,2020-03-20
9.75%,2020-01-17
10.00%,2019-07-19
10.25%,2018-11-23
10.00%,2018-03-29
10.25%,2017-07-21
10.50%,2016-03-18
10.25%,2016-01-29
9.75%,2015-11-20
9.50%,2015-07-24
9.25%,2014-07-18
9.00%,2014-01-30
8.50%,2012-07-20
9.00%,2010-11-19
9.50%,2010-09-10
10.00%,2010-03-26
10.50%,2009-08-14
11.00%,2009-05-29
12.00%,2009-05-04
13.00%,2009-03-25
14.00%,2009-02-06
15.00%,2008-12-12
15.50%,2008-06-13
15.00%,2008-04-11
14.50%,2007-12-07
14.00%,2007-10-12
13.50%,2007-08-17
13.00%,2007-06-08
12.50%,2006-12-08
12.00%,2006-10-13
11.50%,2006-08-03
11.00%,2006-06-08
