DATE,QZAR368BIS
1967-01-01,12.4215
1967-04-01,13.3163
1967-07-01,18.4774
1967-10-01,15.7932
1968-01-01,2.5992
1968-04-01,0.9628
1968-07-01,1.093
1968-10-01,4.3335
1969-01-01,6.9571
1969-04-01,8.875
1969-07-01,8.0161
1969-10-01,6.3465
1970-01-01,10.7073
1970-04-01,11.4747
1970-07-01,10.8043
1970-10-01,9.4701
1971-01-01,5.2024
1971-04-01,1.5877
1971-07-01,-0.3786
1971-10-01,-1.1194
1972-01-01,-1.6704
1972-04-01,-2.7944
1972-07-01,-1.3193
1972-10-01,-0.1295
1973-01-01,2.1249
1973-04-01,4.3658
1973-07-01,7.5072
1973-10-01,8.1808
1974-01-01,3.4184
1974-04-01,1.4142
1974-07-01,-5.8607
1974-10-01,-9.8785
1975-01-01,-4.4414
1975-04-01,-4.0472
1975-07-01,-3.3159
1975-10-01,-0.4697
1976-01-01,-3.8559
1976-04-01,-4.0442
1976-07-01,-4.2482
1976-10-01,-5.8729
1977-01-01,-8.0653
1977-04-01,-8.9628
1977-07-01,-8.0593
1977-10-01,-8.0514
1978-01-01,-6.656
1978-04-01,-6.4121
1978-07-01,-7.0492
1978-10-01,-4.612
1979-01-01,-3.5456
1979-04-01,-0.9417
1979-07-01,-0.1929
1979-10-01,0.4835
1980-01-01,2.3841
1980-04-01,5.1064
1980-07-01,12.1315
1980-10-01,15.2269
1981-01-01,19.4384
1981-04-01,22.6942
1981-07-01,20.2314
1981-10-01,17.8465
1982-01-01,12.9611
1982-04-01,5.5737
1982-07-01,2.875
1982-10-01,-0.2701
1983-01-01,1.4417
1983-04-01,5.4008
1983-07-01,8.1286
1983-10-01,12.8221
1984-01-01,9.3909
1984-04-01,1.8398
1984-07-01,-4.5309
1984-10-01,-13.2732
1985-01-01,-19.3212
1985-04-01,-21.39
1985-07-01,-21.6271
1985-10-01,-20.2246
1986-01-01,-19.9892
1986-04-01,-18.6821
1986-07-01,-19.1836
1986-10-01,-18.3405
1987-01-01,-12.7884
1987-04-01,-7.8568
1987-07-01,-2.8659
1987-10-01,1.5995
1988-01-01,3.1093
1988-04-01,1.7878
1988-07-01,2.1873
1988-10-01,1.1343
1989-01-01,-0.441
1989-04-01,0.832
1989-07-01,0.2623
1989-10-01,-0.7078
1990-01-01,0.328
1990-04-01,1.2917
1990-07-01,0.321
1990-10-01,-0.6998
1991-01-01,-1.6163
1991-04-01,-2.5023
1991-07-01,-1.4918
1991-10-01,-1.0733
1992-01-01,-3.4162
1992-04-01,-8.3927
1992-07-01,-11.7607
1992-10-01,-9.4335
1993-01-01,-7.2526
1993-04-01,-5.7763
1993-07-01,-1.8665
1993-10-01,-2.3347
1994-01-01,-1.4976
1994-04-01,3.8216
1994-07-01,2.5693
1994-10-01,1.5594
1995-01-01,0.8061
1995-04-01,-1.7836
1995-07-01,-1.4963
1995-10-01,-1.5408
1996-01-01,-2.2345
1996-04-01,-2.7668
1996-07-01,-4.0327
1996-10-01,-4.856
1997-01-01,-5.387
1997-04-01,-3.2148
1997-07-01,1.9165
1997-10-01,7.8651
1998-01-01,11.503
1998-04-01,10.8418
1998-07-01,5.5032
1998-10-01,-0.8835
1999-01-01,-3.6454
1999-04-01,-2.2822
1999-07-01,0.2541
1999-10-01,4.6789
2000-01-01,19.713
2000-04-01,13.8617
2000-07-01,8.4031
2000-10-01,3.5932
2001-01-01,-8.9846
2001-04-01,-5.6246
2001-07-01,0.882
2001-10-01,6.1584
2002-01-01,6.5972
2002-04-01,5.505
2002-07-01,2.8619
2002-10-01,0.8434
2003-01-01,3.7395
2003-04-01,8.5789
2003-07-01,14.8998
2003-10-01,24.2435
2004-01-01,30.0505
2004-04-01,32.8322
2004-07-01,33.249
2004-10-01,30.963
2005-01-01,29.8371
2005-04-01,26.7629
2005-07-01,22.9943
2005-10-01,19.117
2006-01-01,14.861
2006-04-01,12.7999
2006-07-01,10.404
2006-10-01,8.5876
2007-01-01,8.1707
2007-04-01,8.2579
2007-07-01,7.7371
2007-10-01,3.5967
2008-01-01,-3.318
2008-04-01,-9.9987
2008-07-01,-15.0837
2008-10-01,-14.4496
2009-01-01,-12.0362
2009-04-01,-9.7634
2009-07-01,-6.2453
2009-10-01,-4.3272
2010-01-01,-1.8036
2010-04-01,0.6759
