DATE,RKNANPZAA666NRUG
1950-01-01,209313.6875
1951-01-01,229221.828125
1952-01-01,238535.15625
1953-01-01,252117.03125
1954-01-01,269913.03125
1955-01-01,289314.09375
1956-01-01,307527.09375
1957-01-01,328832.5625
1958-01-01,348798.1875
1959-01-01,359250.0
1960-01-01,375632.90625
1961-01-01,390838.09375
1962-01-01,403534.21875
1963-01-01,424125.375
1964-01-01,450332.3125
1965-01-01,481182.5
1966-01-01,506596.75
1967-01-01,541917.9375
1968-01-01,571732.625
1969-01-01,607441.5625
1970-01-01,652242.0625
1971-01-01,702520.3125
1972-01-01,754625.4375
1973-01-01,807928.1875
1974-01-01,864028.5
1975-01-01,926196.75
1976-01-01,982797.375
1977-01-01,1029035.9375
1978-01-01,1069652.5
1979-01-01,1111658.625
1980-01-01,1168104.75
1981-01-01,1230887.125
1982-01-01,1286138.625
1983-01-01,1332886.75
1984-01-01,1375654.75
1985-01-01,1408418.5
1986-01-01,1417905.625
1987-01-01,1422186.25
1988-01-01,1439024.125
1989-01-01,1461375.375
1990-01-01,1480215.25
1991-01-01,1491476.5
1992-01-01,1497674.125
1993-01-01,1503809.875
1994-01-01,1517197.375
1995-01-01,1539162.0
1996-01-01,1568051.25
1997-01-01,1599429.0
1998-01-01,1632165.875
1999-01-01,1652854.375
2000-01-01,1674772.375
2001-01-01,1697696.375
2002-01-01,1722126.875
2003-01-01,1753437.5
2004-01-01,1795564.875
2005-01-01,1847549.375
2006-01-01,1911748.0
2007-01-01,1991683.625
2008-01-01,2086875.5
2009-01-01,2162700.25
2010-01-01,2227114.75
2011-01-01,2296392.75
2012-01-01,2365629.0
2013-01-01,2443050.75
2014-01-01,2516309.0
2015-01-01,2589371.5
2016-01-01,2650160.25
2017-01-01,2708887.0
2018-01-01,2761971.5
2019-01-01,2811258.5
