DATE,ZAFGDPNQDSMEI
1960-01-01,1481901040.19013
1960-04-01,1497738876.79481
1960-07-01,1517774019.9201798
1960-10-01,1559215426.30099
1961-01-01,1567693985.47276
1961-04-01,1562881073.99572
1961-07-01,1614228123.76533
1961-10-01,1629954032.19613
1962-01-01,1660174639.145
1962-04-01,1677691398.35796
1962-07-01,1714879534.13116
1962-10-01,1741574403.60266
1963-01-01,1797874275.0666702
1963-04-01,1843764826.3594
1963-07-01,1928326561.7293
1963-10-01,1963611918.54646
1964-01-01,2017505334.27195
1964-04-01,2053714098.52365
1964-07-01,2071258839.78008
1964-10-01,2151119591.84682
1965-01-01,2240326346.43294
1965-04-01,2256779787.99399
1965-07-01,2264055119.2965
1965-10-01,2300347829.67862
1966-01-01,2373828675.83393
1966-04-01,2440873651.99087
1966-07-01,2499635943.2803497
1966-10-01,2563155181.95992
1967-01-01,2637783291.89755
1967-04-01,2692488186.88371
1967-07-01,2865221341.23129
1967-10-01,2819722538.5471597
1968-01-01,2908481580.43773
1968-04-01,2916176642.39231
1968-07-01,2998919544.93658
1968-10-01,3084404687.74103
1969-01-01,3216284058.62069
1969-04-01,3296676469.51339
1969-07-01,3443750089.9979
1969-10-01,3458524608.95068
1970-01-01,3544009751.7551303
1970-04-01,3678183650.19943
1970-07-01,3645584569.5555096
1970-10-01,3857268728.41497
1971-01-01,3889112293.88517
1971-04-01,3989399937.68588
1971-07-01,4137816696.2570004
1971-10-01,4261385400.2257295
1972-01-01,4397182257.19135
1972-04-01,4440582406.6151495
1972-07-01,4641997155.52069
1972-10-01,4896549804.978
1973-01-01,5214901513.549601
1973-04-01,5440156963.492579
1973-07-01,5885155400.81472
1973-10-01,6214532034.51396
1974-01-01,6584958325.98542
1974-04-01,6878881710.60668
1974-07-01,7092412684.33524
1974-10-01,7437039531.72627
1975-01-01,7647800283.15118
1975-04-01,7669402420.71093
1975-07-01,8070776852.26151
1975-10-01,8160571229.760521
1976-01-01,8480797735.244691
1976-04-01,8839499550.50172
1976-07-01,9076787279.13731
1976-10-01,9228477936.79457
1977-01-01,9331731677.20321
1977-04-01,9560932595.27564
1977-07-01,10131346551.4356
1977-10-01,10541647254.853498
1978-01-01,10725069549.8071
1978-04-01,10997418778.911999
1978-07-01,11738747056.594
1978-10-01,12029816272.7812
1979-01-01,12861162784.3099
1979-04-01,12849326379.9216
1979-07-01,13643176953.1989
1979-10-01,14975094240.383501
1980-01-01,17261255174.022198
1980-04-01,17436422766.1518
1980-07-01,18666177612.623096
1980-10-01,18972916773.1542
1981-01-01,19955030534.9056
1981-04-01,20602395110.6113
1981-07-01,21325786898.4282
1981-10-01,22055390699.8957
1982-01-01,22471483686.312103
1982-04-01,23249412476.8544
1982-07-01,24391975275.8695
1982-10-01,25197410415.143898
1983-01-01,25858682066.4548
1983-04-01,26844181655.4662
1983-07-01,27721642574.6354
1983-10-01,28582733998.374
1984-01-01,30353381745.1432
1984-04-01,31390088473.7069
1984-07-01,32565614119.9311
1984-10-01,33405942867.413998
1985-01-01,35032007395.5676
1985-04-01,36105006834.513504
1985-07-01,37090786243.9596
1985-10-01,39154266075.65469
1986-01-01,40031699012.7804
1986-04-01,42297153234.2505
1986-07-01,44179281442.20889
1986-10-01,46184474677.3535
1987-01-01,47940739653.7785
1987-04-01,48936340760.483
1987-07-01,51324048529.8787
1987-10-01,53648712755.33379
1988-01-01,56601965605.32539
1988-04-01,59124686734.4694
1988-07-01,62143333620.0532
1988-10-01,64321539829.980095
1989-01-01,67883178269.1221
1989-04-01,72463838785.354
1989-07-01,74382119793.4771
1989-10-01,75977068289.2908
1990-01-01,79695602046.17569
1990-04-01,83458179539.4842
1990-07-01,84823311512.2691
1990-10-01,86655995449.4139
1991-01-01,90437488804.1089
1991-04-01,93765141395.7449
1991-07-01,98123960271.3372
1991-10-01,100742324025.066
1992-01-01,103373615482.87799
1992-04-01,105693326886.63899
1992-07-01,108208436899.959
1992-10-01,112218431621.63899
1993-01-01,116543252314.414
1993-04-01,120533771533.839
1993-07-01,125168717214.40501
1993-10-01,128989105609.52501
1994-01-01,134289464283.835
1994-04-01,136538381117.614
1994-07-01,138699714155.328
1994-10-01,145896975556.55
1995-01-01,150991946031.78198
1995-04-01,154587918438.263
1995-07-01,160227979120.313
1995-10-01,165321550493.372
1996-01-01,169344528883.223
1996-04-01,176204047019.74802
1996-07-01,180071165427.465
1996-10-01,184688762241.07898
1997-01-01,190027456314.945
1997-04-01,194729279079.407
1997-07-01,199002976578.76
1997-10-01,203226306399.865
1998-01-01,206285863033.00302
1998-04-01,213166087881.697
1998-07-01,214388623360.952
1998-10-01,218669316371.173
1999-01-01,224035712668.076
1999-04-01,227987336847.076
1999-07-01,238000711103.237
1999-10-01,244300028729.46802
2000-01-01,250315048794.033
2000-04-01,259828663753.79898
2000-07-01,270994618380.538
2000-10-01,278064841304.39996
2001-01-01,284633626009.259
2001-04-01,288966085799.902
2001-07-01,293433139219.641
2001-10-01,303897024375.688
2002-01-01,323697957797.198
2002-04-01,336118067612.315
2002-07-01,346921374955.667
2002-10-01,355725085472.569
2003-01-01,361457207077.64
2003-04-01,367126648905.336
2003-07-01,373322992611.593
2003-10-01,381998825189.83203
2004-01-01,397383632510.72003
2004-04-01,407852834255.027
2004-07-01,416808207447.54297
2004-10-01,430712484848.371
2005-01-01,438398312728.6
2005-04-01,452600598892.396
2005-07-01,464464985324.17596
2005-10-01,479323170586.937
2006-01-01,485159385393.721
2006-04-01,502677263888.417
2006-07-01,527391284502.596
2006-10-01,543578896650.673
2007-01-01,567492910642.011
2007-04-01,578235496951.031
2007-07-01,592757058230.834
2007-10-01,622641600837.6171
2008-01-01,638940581518.709
2008-04-01,656215575876.0759
2008-07-01,675128918878.68
2008-10-01,681363877804.9281
2009-01-01,684005662529.042
2009-04-01,688978631294.74
2009-07-01,707918557238.641
2009-10-01,725894221964.526
2010-01-01,736904876250.0
2010-04-01,763365254750.0
