,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Historical Data: South African Benchmark Overnight Rate (SABOR) and ,,,,,,,,,,
Overnight Foreigh Exchange (FX) Rate,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,SABOR (%), Vol (Rmill) ,FX (%) ,Vol (Rmill),,,,,,
,,,,,,,,,,
"01-Aug-07,Wed",9.194," R 67,642 ",10.636," R 11,454 ",,,,,,
"02-Aug-07,Thu",9.231," R 65,447 ",11.760," R 21,121 ",,,,,,
"03-Aug-07,Fri",9.146," R 66,296 ",9.715," R 16,555 ",,,,,,
"06-Aug-07,Mon",9.129," R 67,565 ",9.428," R 13,771 ",,,,,,
"07-Aug-07,Tue",9.126," R 63,059 ",9.444," R 23,969 ",,,,,,
"08-Aug-07,Wed",9.124," R 63,995 ",9.313," R 26,311 ",,,,,,
"09-Aug-07,Thu",9.124," R 63,995 ",9.313," R 26,311 ",,,,,,
"10-Aug-07,Fri",9.136," R 63,347 ",9.674," R 14,030 ",,,,,,
"13-Aug-07,Mon",9.136," R 64,975 ",9.667," R 19,507 ",,,,,,
"14-Aug-07,Tue",9.131," R 71,567 ",9.501," R 17,215 ",,,,,,
"15-Aug-07,Wed",9.129," R 69,587 ",9.456," R 14,299 ",,,,,,
"16-Aug-07,Thu",9.165," R 70,770 ",9.466," R 15,730 ",,,,,,
"17-Aug-07,Fri",9.487," R 65,531 ",9.516," R 16,986 ",,,,,,
"20-Aug-07,Mon",9.593," R 68,383 ",10.161," R 19,139 ",,,,,,
"21-Aug-07,Tue",9.590," R 71,977 ",10.020," R 14,668 ",,,,,,
"22-Aug-07,Wed",9.594," R 75,224 ",9.732," R 17,533 ",,,,,,
"23-Aug-07,Thu",9.594," R 74,669 ",9.908," R 16,409 ",,,,,,
"24-Aug-07,Fri",9.593," R 79,449 ",9.935," R 17,220 ",,,,,,
"27-Aug-07,Mon",9.601," R 66,573 ",10.066," R 17,855 ",,,,,,
"28-Aug-07,Tue",9.609," R 68,020 ",9.905," R 14,586 ",,,,,,
"29-Aug-07,Wed",9.612," R 66,353 ",9.941," R 20,529 ",,,,,,
"30-Aug-07,Thu",9.601," R 64,410 ",9.742," R 16,602 ",,,,,,
"31-Aug-07,Fri",9.600," R 66,119 ",10.064," R 17,647 ",,,,,,
"03-Sep-07,Mon",9.615," R 65,457 ",0.000, R - ,,,,,,
"04-Sep-07,Tue",9.602," R 63,834 ",9.828," R 13,831 ",,,,,,
"05-Sep-07,Wed",9.601," R 70,947 ",9.684," R 12,874 ",,,,,,
"06-Sep-07,Thu",9.588," R 70,215 ",9.544," R 16,391 ",,,,,,
"07-Sep-07,Fri",9.594," R 65,246 ",9.527," R 17,043 ",,,,,,
"10-Sep-07,Mon",9.583," R 63,292 ",9.423," R 21,997 ",,,,,,
"11-Sep-07,Tue",9.604," R 62,845 ",9.676," R 8,880 ",,,,,,
"12-Sep-07,Wed",9.606," R 64,932 ",9.651," R 8,793 ",,,,,,
"13-Sep-07,Thu",9.612," R 62,605 ",9.750," R 8,839 ",,,,,,
"14-Sep-07,Fri",9.626," R 62,526 ",9.807," R 12,592 ",,,,,,
"17-Sep-07,Mon",9.629," R 64,974 ",9.883," R 12,364 ",,,,,,
"18-Sep-07,Tue",9.629," R 62,972 ",9.826," R 13,919 ",,,,,,
"19-Sep-07,Wed",9.576," R 67,534 ",9.608," R 16,452 ",,,,,,
"20-Sep-07,Thu",9.577," R 68,031 ",9.624," R 10,961 ",,,,,,
"21-Sep-07,Fri",9.583," R 71,847 ",9.650," R 17,568 ",,,,,,
"24-Sep-07,Mon",9.583," R 71,848 ",9.650," R 17,568 ",,,,,,
"25-Sep-07,Tue",9.514," R 64,677 ",9.847," R 14,270 ",,,,,,
"26-Sep-07,Wed",9.550," R 64,910 ",9.872," R 11,364 ",,,,,,
"27-Sep-07,Thu",9.617," R 67,059 ",9.745," R 8,243 ",,,,,,
"28-Sep-07,Fri",9.633," R 66,005 ",9.890," R 18,352 ",,,,,,
"01-Oct-07,Mon",9.620," R 66,409 ",9.717," R 11,929 ",,,,,,
"02-Oct-07,Tue",9.626," R 68,692 ",9.858," R 10,690 ",,,,,,
"03-Oct-07,Wed",9.626," R 68,636 ",9.847," R 11,595 ",,,,,,
"04-Oct-07,Thu",9.619," R 68,198 ",9.745," R 16,240 ",,,,,,
"05-Oct-07,Fri",9.626," R 63,199 ",9.821," R 12,878 ",,,,,,
"08-Oct-07,Mon",9.624," R 66,434 ",0.000, R - ,,,,,,
"09-Oct-07,Tue",9.625," R 68,412 ",9.837," R 9,095 ",,,,,,
"10-Oct-07,Wed",9.636," R 66,699 ",9.945," R 12,506 ",,,,,,
"11-Oct-07,Thu",9.642," R 68,133 ",9.965," R 13,199 ",,,,,,
"12-Oct-07,Fri",10.063," R 63,172 ",10.049," R 9,534 ",,,,,,
"15-Oct-07,Mon",10.075," R 61,509 ",10.114," R 5,907 ",,,,,,
"16-Oct-07,Tue",10.076," R 62,661 ",10.272," R 9,568 ",,,,,,
"17-Oct-07,Wed",10.084," R 65,243 ",10.246," R 8,572 ",,,,,,
"18-Oct-07,Thu",10.113," R 60,977 ",10.320," R 14,116 ",,,,,,
"19-Oct-07,Fri",10.118," R 61,094 ",10.361," R 16,768 ",,,,,,
"22-Oct-07,Mon",10.110," R 64,382 ",10.349," R 17,122 ",,,,,,
"23-Oct-07,Tue",10.121," R 68,177 ",10.327," R 17,581 ",,,,,,
"24-Oct-07,Wed",10.121," R 65,034 ",10.289," R 17,089 ",,,,,,
"25-Oct-07,Thu",10.103," R 65,587 ",10.203," R 12,853 ",,,,,,
"26-Oct-07,Fri",10.099," R 72,094 ",10.055," R 21,613 ",,,,,,
"29-Oct-07,Mon",10.105," R 73,566 ",10.149," R 14,009 ",,,,,,
"30-Oct-07,Tue",10.105," R 70,192 ",10.209," R 14,155 ",,,,,,
"31-Oct-07,Wed",10.106," R 67,876 ",10.169," R 20,783 ",,,,,,
"01-Nov-07,Thu",10.107," R 65,937 ",10.092," R 12,029 ",,,,,,
"02-Nov-07,Fri",10.108," R 70,871 ",10.143," R 10,330 ",,,,,,
"05-Nov-07,Mon",10.103," R 76,186 ",10.076," R 9,928 ",,,,,,
"06-Nov-07,Tue",10.112," R 72,245 ",10.103," R 10,174 ",,,,,,
"07-Nov-07,Wed",10.122," R 71,958 ",10.161," R 10,612 ",,,,,,
"08-Nov-07,Thu",10.120," R 66,867 ",10.190," R 10,110 ",,,,,,
"09-Nov-07,Fri",10.123," R 73,142 ",10.361," R 12,508 ",,,,,,
"12-Nov-07,Mon",10.122," R 71,088 ",0.000, R - ,,,,,,
